episode_returns,episode_lengths,total_episodes
9.0,12,5000
-103.0,97,5000
-24.0,36,5000
-12.0,15,5000
11.0,10,5000
-4.0,25,5000
-62.0,65,5000
11.0,10,5000
-38.0,41,5000
-19.0,31,5000
14.0,7,5000
9.0,12,5000
-44.0,47,5000
6.0,15,5000
-69.0,63,5000
-19.0,13,5000
-26.0,29,5000
-23.0,35,5000
-86.0,71,5000
-10.0,22,5000
-38.0,59,5000
-43.0,37,5000
-74.0,77,5000
6.0,15,5000
14.0,7,5000
-35.0,47,5000
10.0,11,5000
-14.0,35,5000
11.0,10,5000
7.0,14,5000
-96.0,81,5000
-36.0,57,5000
-16.0,37,5000
-19.0,22,5000
-39.0,42,5000
-2.0,23,5000
-2.0,14,5000
-52.0,64,5000
-38.0,50,5000
-52.0,64,5000
9.0,12,5000
-2.0,14,5000
11.0,10,5000
-51.0,63,5000
-24.0,27,5000
14.0,7,5000
10.0,11,5000
-18.0,30,5000
-5.0,17,5000
-199.0,139,5000
-8.0,29,5000
-2.0,23,5000
-71.0,74,5000
11.0,10,5000
10.0,11,5000
7.0,14,5000
6.0,15,5000
-84.0,78,5000
8.0,13,5000
-44.0,56,5000
-8.0,29,5000
9.0,12,5000
-38.0,32,5000
-45.0,57,5000
8.0,13,5000
13.0,8,5000
10.0,11,5000
-30.0,33,5000
-3.0,15,5000
-8.0,20,5000
-16.0,28,5000
-27.0,30,5000
-4.0,16,5000
1.0,20,5000
-46.0,58,5000
-40.0,52,5000
-6.0,18,5000
-1.0,22,5000
-22.0,25,5000
7.0,14,5000
3.0,18,5000
-3.0,24,5000
4.0,17,5000
-71.0,74,5000
7.0,14,5000
-2.0,23,5000
-35.0,56,5000
-3.0,24,5000
-2.0,14,5000
9.0,12,5000
-10.0,22,5000
-47.0,59,5000
11.0,10,5000
-26.0,38,5000
-16.0,19,5000
9.0,12,5000
-11.0,23,5000
0.0,21,5000
11.0,10,5000
6.0,15,5000
-8.0,20,5000
7.0,14,5000
-16.0,28,5000
-14.0,17,5000
-1.0,13,5000
1.0,11,5000
8.0,13,5000
-14.0,17,5000
6.0,15,5000
-9.0,21,5000
-51.0,63,5000
10.0,11,5000
-31.0,43,5000
-76.0,70,5000
-38.0,41,5000
-66.0,69,5000
-40.0,43,5000
8.0,13,5000
7.0,14,5000
7.0,14,5000
-11.0,23,5000
-10.0,31,5000
-4.0,25,5000
-25.0,28,5000
1.0,20,5000
-70.0,82,5000
4.0,17,5000
4.0,17,5000
-9.0,12,5000
6.0,15,5000
